Name,Role,Company,Expertise
David Shaw,Founder,D.E. Shaw & Co.,Computational finance and algorithmic trading
James Simons,Founder,Renaissance Technologies,Quantitative trading and algorithmic strategies
Ken Griffin,Founder,Citadel and Citadel Securities,High-frequency and algorithmic market making
Cliff Asness,Founder,AQR Capital Management,Factor-based quantitative investing and algorithmic research
Douglas Cifu,Leader,Virtu Financial,Electronic execution and high-frequency risk management algorithms
Ray Dalio,Founder,Bridgewater Associates,Macroeconomics and systematic investing principles
Aswath Damodaran,Professor,NYU Stern,Valuation and corporate finance models used in algorithmic trading systems
Edward Thorp,Author and pioneer,N/A,Algorithms for blackjack and the stock market
Howard Marks,Co-founder,Oaktree Capital Management,Market cycles and distressed debt through systematic approaches
Jeff Yass,Co-founder,Susquehanna International Group (SIG),Options market making and quantitative trading
Nassim Nicholas Taleb,Author and Options Trader,N/A,Tail risk and black swan events in algorithmic contexts
Stefania Perrucci,Founder and CIO,New Sky Capital,Quantitative analysis and trader psychology
